step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,5,0,0,0.0,10.0,10.0,17.858892685478516,0.5,0.0,18.358892685478516
1,2,4,1,0,258.9522733353016,20.0,278.9522733353016,34.15889268547852,1.0,0.0,35.15889268547852
2,3,4,1,0,258.9522733353016,30.0,288.9522733353016,53.13533550180697,1.5,0.0,54.63533550180697
3,4,3,2,0,703.5441032901934,40.0,743.5441032901934,69.43533550180697,2.0,0.0,71.43533550180697
4,5,3,2,0,703.5441032901934,50.0,753.5441032901934,69.43533550180697,2.5,0.0,71.93533550180697
5,6,3,2,0,703.5441032901934,60.0,763.5441032901934,69.43533550180697,3.0,0.0,72.43533550180697
6,7,3,2,0,703.5441032901934,70.0,773.5441032901934,69.43533550180697,3.5,0.0,72.93533550180697
7,8,3,2,0,703.5441032901934,80.0,783.5441032901934,69.43533550180697,4.0,0.0,73.43533550180697
8,9,3,2,0,703.5441032901934,90.0,793.5441032901934,69.43533550180697,4.5,0.0,73.93533550180697
9,10,3,2,0,703.5441032901934,100.0,803.5441032901934,69.43533550180697,5.0,0.0,74.43533550180697
10,11,3,2,0,703.5441032901934,110.0,813.5441032901934,90.27135243084463,5.5,0.0,95.77135243084463
11,12,2,3,0,1457.0352875157175,120.0,1577.0352875157175,106.57135243084463,6.0,0.0,112.57135243084463
12,13,2,3,0,1457.0352875157175,130.0,1587.0352875157175,106.57135243084463,6.5,0.0,113.07135243084463
13,14,2,3,0,1457.0352875157175,140.0,1597.0352875157175,106.57135243084463,7.0,0.0,113.57135243084463
14,15,2,3,0,1457.0352875157175,150.0,1607.0352875157175,106.57135243084463,7.5,0.0,114.07135243084463
15,16,2,3,0,1457.0352875157175,160.0,1617.0352875157175,106.57135243084463,8.0,0.0,114.57135243084463
16,17,2,3,0,1457.0352875157175,170.0,1627.0352875157175,106.57135243084463,8.5,0.0,115.07135243084463
17,18,2,3,0,1457.0352875157175,180.0,1637.0352875157175,106.57135243084463,9.0,0.0,115.57135243084463
18,19,2,3,0,1457.0352875157175,190.0,1647.0352875157175,106.57135243084463,9.5,0.0,116.07135243084463
19,20,2,3,0,1457.0352875157175,200.0,1657.0352875157175,106.57135243084463,10.0,0.0,116.57135243084463
20,21,2,3,0,1457.0352875157175,210.0,1667.0352875157175,106.57135243084463,10.5,0.0,117.07135243084463
21,22,2,3,0,1457.0352875157175,220.0,1677.0352875157175,106.57135243084463,11.0,0.0,117.57135243084463
22,23,2,3,0,1457.0352875157175,230.0,1687.0352875157175,106.57135243084463,11.5,0.0,118.07135243084463
23,24,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
24,25,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
25,26,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
26,27,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
27,28,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
28,29,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
29,30,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
30,31,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
31,32,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
32,33,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
33,34,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
34,35,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
35,36,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
36,37,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
37,38,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
38,39,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
39,40,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
40,41,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
41,42,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
42,43,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
43,44,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
44,45,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
45,46,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
46,47,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
47,48,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
48,49,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
49,50,2,3,0,1457.0352875157175,234.1686514838764,1691.203938999594,106.57135243084463,11.70843257419382,0.0,118.27978500503845
