step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,1,0,0,0.0,0.0,0.0,16.725678282274302,0.0,0.0,16.725678282274302
1,2,1,0,0,85.71189447794012,0.0,85.71189447794012,33.1159856047572,0.0,0.0,33.1159856047572
2,3,1,0,0,102.85643234222755,0.0,102.85643234222755,49.42888840021731,0.0,0.0,49.42888840021731
3,4,1,0,0,105.5353481699195,0.0,105.5353481699195,65.7321126780399,0.0,0.0,65.7321126780399
4,5,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,0.0,82.03272002688281
5,6,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,2.0,84.03272002688281
6,7,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,4.0,86.03272002688281
7,8,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,6.0,88.03272002688281
8,9,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,8.0,90.03272002688281
9,10,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,10.0,92.03272002688281
10,11,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,12.0,94.03272002688281
11,12,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,14.0,96.03272002688281
12,13,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,16.0,98.03272002688281
13,14,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,18.0,100.03272002688281
14,15,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,20.0,102.03272002688281
15,16,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,22.0,104.03272002688281
16,17,1,0,1,106.17183100472238,0.0,106.17183100472238,82.03272002688281,0.0,24.0,106.03272002688281
17,18,0,1,1,106.27271951683535,0.0,106.27271951683535,98.33272002688281,0.0,26.0,124.33272002688281
