step,sim_time,active_tasks,completed_tasks_cumulative,charging_count_cumulative,uav_distance_cumulative,agv_distance_cumulative,total_distance_cumulative,uav_energy_cumulative,agv_energy_cumulative,charge_loss_energy_cumulative,total_energy_cumulative
0,1,30,0,0,0.0,0.0,0.0,108.47033303869149,0.0,0.0,108.47033303869149
1,2,25,5,0,2794.077146872348,0.0,2794.077146872348,199.01074285714773,0.0,0.0,199.01074285714773
2,3,25,5,0,2794.077146872348,0.0,2794.077146872348,301.14240992962766,0.0,0.0,301.14240992962766
3,4,20,10,1,4610.979518412856,0.0,4610.979518412856,391.4808340445678,0.0,0.0,391.4808340445678
4,5,20,10,1,4610.979518412856,10.0,4620.979518412856,391.4808340445678,0.5,2.0,393.9808340445678
5,6,20,10,1,4610.979518412856,20.0,4630.979518412856,391.4808340445678,1.0,4.0,396.4808340445678
6,7,20,10,1,4610.979518412856,30.0,4640.979518412856,391.4808340445678,1.5,6.0,398.9808340445678
7,8,20,10,1,4610.979518412856,40.0,4650.979518412856,391.4808340445678,2.0,8.0,401.4808340445678
8,9,20,10,1,4610.979518412856,50.0,4660.979518412856,391.4808340445678,2.5,10.0,403.9808340445678
9,10,20,10,1,4610.979518412856,60.0,4670.979518412856,391.4808340445678,3.0,12.0,406.4808340445678
10,11,20,10,5,4610.979518412856,70.0,4680.979518412856,479.686522292275,3.5,14.0,497.186522292275
11,12,20,10,5,4610.979518412856,80.0,4690.979518412856,479.686522292275,4.0,24.0,507.686522292275
12,13,20,10,5,4610.979518412856,90.0,4700.979518412856,479.686522292275,4.5,34.0,518.186522292275
13,14,20,10,5,4610.979518412856,100.0,4710.979518412856,479.686522292275,5.0,44.0,528.686522292275
14,15,20,10,5,4610.979518412856,110.0,4720.979518412856,479.686522292275,5.5,54.0,539.186522292275
15,16,20,10,5,4610.979518412856,130.0,4740.979518412856,479.686522292275,6.5,64.0,550.186522292275
16,17,20,10,5,4610.979518412856,150.0,4760.979518412856,479.686522292275,7.5,74.0,561.186522292275
17,18,20,10,5,4610.979518412856,170.0,4780.979518412856,479.686522292275,8.5,82.0,570.186522292275
18,19,20,10,5,4610.979518412856,190.0,4800.979518412856,479.686522292275,9.5,90.0,579.186522292275
19,20,20,10,5,4610.979518412856,210.0,4820.979518412856,479.686522292275,10.5,98.0,588.186522292275
20,21,20,10,5,4610.979518412856,230.0,4840.979518412856,479.686522292275,11.5,106.0,597.186522292275
