timestamp,sender,receiver,message_type,content
0,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 24
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 10
0,Control Center,UAV 10,TASK_ASSIGNMENT,Assign task 46
0,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 47
0,Control Center,UAV 9,TASK_ASSIGNMENT,Assign task 38
0,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 42
0,Control Center,UAV 8,TASK_ASSIGNMENT,Assign task 6
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 8
0,Control Center,UAV 7,TASK_ASSIGNMENT,Assign task 40
0,Control Center,UAV 6,TASK_ASSIGNMENT,Assign task 36
0,UAV 8,Control Center,TASK_START,Start task 6
0,UAV 2,Control Center,TASK_START,Start task 8
0,UAV 1,Control Center,TASK_START,Start task 10
0,UAV 3,Control Center,TASK_START,Start task 24
0,UAV 6,Control Center,TASK_START,Start task 36
0,UAV 9,Control Center,TASK_START,Start task 38
0,UAV 7,Control Center,TASK_START,Start task 40
0,UAV 4,Control Center,TASK_START,Start task 42
0,UAV 10,Control Center,TASK_START,Start task 46
0,UAV 5,Control Center,TASK_START,Start task 47
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 10
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 8
1,UAV 3,Control Center,TASK_COMPLETE,Complete task 24
1,UAV 4,Control Center,TASK_COMPLETE,Complete task 42
1,UAV 5,Control Center,TASK_COMPLETE,Complete task 47
1,UAV 6,Control Center,TASK_COMPLETE,Complete task 36
1,UAV 7,Control Center,TASK_COMPLETE,Complete task 40
1,UAV 8,Control Center,TASK_COMPLETE,Complete task 6
1,UAV 9,Control Center,TASK_COMPLETE,Complete task 38
1,UAV 10,Control Center,TASK_COMPLETE,Complete task 46
2,Control Center,UAV 7,TASK_ASSIGNMENT,Assign task 35
2,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 17
2,Control Center,UAV 10,TASK_ASSIGNMENT,Assign task 19
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 41
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 1
2,Control Center,UAV 9,TASK_ASSIGNMENT,Assign task 4
2,Control Center,UAV 8,TASK_ASSIGNMENT,Assign task 9
2,Control Center,UAV 6,TASK_ASSIGNMENT,Assign task 48
2,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 27
2,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 16
2,UAV 1,Control Center,TASK_START,Start task 1
2,UAV 9,Control Center,TASK_START,Start task 4
2,UAV 8,Control Center,TASK_START,Start task 9
2,UAV 4,Control Center,TASK_START,Start task 16
2,UAV 3,Control Center,TASK_START,Start task 17
2,UAV 10,Control Center,TASK_START,Start task 19
2,UAV 5,Control Center,TASK_START,Start task 27
2,UAV 7,Control Center,TASK_START,Start task 35
2,UAV 2,Control Center,TASK_START,Start task 41
2,UAV 6,Control Center,TASK_START,Start task 48
3,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
3,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.1%
3,UAV 2,Control Center,TASK_COMPLETE,Complete task 41
3,UAV 2,Control Center,LOW_BATTERY,Battery level: 25.2%
3,UAV 3,Control Center,TASK_COMPLETE,Complete task 17
3,UAV 3,Control Center,LOW_BATTERY,Battery level: 23.3%
3,UAV 4,Control Center,TASK_COMPLETE,Complete task 16
3,UAV 4,Control Center,LOW_BATTERY,Battery level: 20.3%
3,UAV 5,Control Center,TASK_COMPLETE,Complete task 27
3,UAV 5,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.0%"
3,Control Center,AGV 3,CHARGING_COMMAND,Charge UAV 5
3,AGV 3,UAV 5,CHARGING_START,Start charging
3,UAV 6,Control Center,TASK_COMPLETE,Complete task 48
3,UAV 6,Control Center,LOW_BATTERY,Battery level: 21.0%
3,UAV 7,Control Center,TASK_COMPLETE,Complete task 35
3,UAV 7,Control Center,LOW_BATTERY,Battery level: 29.8%
3,UAV 8,Control Center,TASK_COMPLETE,Complete task 9
3,UAV 8,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.3%"
3,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 8
3,AGV 1,UAV 8,CHARGING_START,Start charging
3,UAV 9,Control Center,TASK_COMPLETE,Complete task 4
3,UAV 9,Control Center,CHARGING_REQUEST,"Request charging, battery: 11.0%"
3,Control Center,AGV 4,CHARGING_COMMAND,Charge UAV 9
3,AGV 4,UAV 9,CHARGING_START,Start charging
3,UAV 10,Control Center,TASK_COMPLETE,Complete task 19
3,UAV 10,Control Center,LOW_BATTERY,Battery level: 24.9%
4,Control Center,UAV 8,TASK_ASSIGNMENT,Assign task 29
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 29
4,Control Center,UAV 9,TASK_ASSIGNMENT,Assign task 32
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 32
4,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 37
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 37
4,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 12
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 12
4,Control Center,UAV 7,TASK_ASSIGNMENT,Assign task 50
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 50
4,Control Center,UAV 10,TASK_ASSIGNMENT,Assign task 21
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 21
4,Control Center,UAV 3,TASK_ASSIGNMENT,Assign task 11
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 11
4,Control Center,UAV 6,TASK_ASSIGNMENT,Assign task 20
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 20
4,Control Center,UAV 4,TASK_ASSIGNMENT,Assign task 7
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 7
4,Control Center,UAV 5,TASK_ASSIGNMENT,Assign task 2
4,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 2
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 29
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 32
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 37
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 12
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 50
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 21
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 11
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 20
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 7
4,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 2
4,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.1%
4,UAV 2,Control Center,LOW_BATTERY,Battery level: 25.2%
4,UAV 3,Control Center,LOW_BATTERY,Battery level: 23.3%
4,UAV 4,Control Center,LOW_BATTERY,Battery level: 20.3%
4,UAV 6,Control Center,LOW_BATTERY,Battery level: 21.0%
4,UAV 7,Control Center,LOW_BATTERY,Battery level: 29.8%
4,UAV 10,Control Center,LOW_BATTERY,Battery level: 24.9%
5,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.1%
5,UAV 2,Control Center,LOW_BATTERY,Battery level: 25.2%
5,UAV 3,Control Center,LOW_BATTERY,Battery level: 23.3%
5,UAV 4,Control Center,LOW_BATTERY,Battery level: 20.3%
5,UAV 6,Control Center,LOW_BATTERY,Battery level: 21.0%
5,UAV 7,Control Center,LOW_BATTERY,Battery level: 29.8%
5,UAV 10,Control Center,LOW_BATTERY,Battery level: 24.9%
6,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.1%
6,UAV 2,Control Center,LOW_BATTERY,Battery level: 25.2%
6,UAV 3,Control Center,LOW_BATTERY,Battery level: 23.3%
6,UAV 4,Control Center,LOW_BATTERY,Battery level: 20.3%
6,UAV 6,Control Center,LOW_BATTERY,Battery level: 21.0%
6,UAV 7,Control Center,LOW_BATTERY,Battery level: 29.8%
6,UAV 10,Control Center,LOW_BATTERY,Battery level: 24.9%
7,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.1%
7,UAV 2,Control Center,LOW_BATTERY,Battery level: 25.2%
7,UAV 3,Control Center,LOW_BATTERY,Battery level: 23.3%
7,UAV 4,Control Center,LOW_BATTERY,Battery level: 20.3%
7,UAV 6,Control Center,LOW_BATTERY,Battery level: 21.0%
7,UAV 7,Control Center,LOW_BATTERY,Battery level: 29.8%
7,UAV 10,Control Center,LOW_BATTERY,Battery level: 24.9%
8,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.1%
8,UAV 2,Control Center,LOW_BATTERY,Battery level: 25.2%
8,UAV 3,Control Center,LOW_BATTERY,Battery level: 23.3%
8,UAV 4,Control Center,LOW_BATTERY,Battery level: 20.3%
8,UAV 6,Control Center,LOW_BATTERY,Battery level: 21.0%
8,UAV 7,Control Center,LOW_BATTERY,Battery level: 29.8%
8,UAV 10,Control Center,LOW_BATTERY,Battery level: 24.9%
9,UAV 1,Control Center,LOW_BATTERY,Battery level: 24.1%
9,UAV 2,Control Center,LOW_BATTERY,Battery level: 25.2%
9,UAV 3,Control Center,LOW_BATTERY,Battery level: 23.3%
9,UAV 4,Control Center,LOW_BATTERY,Battery level: 20.3%
9,UAV 6,Control Center,LOW_BATTERY,Battery level: 21.0%
9,UAV 7,Control Center,LOW_BATTERY,Battery level: 29.8%
9,UAV 10,Control Center,LOW_BATTERY,Battery level: 24.9%
10,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 4.6%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
10,AGV 2,UAV 1,CHARGING_START,Start charging
10,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 5.4%"
10,Control Center,AGV 4,CHARGING_COMMAND,Charge UAV 2
10,AGV 4,UAV 2,CHARGING_START,Start charging
10,UAV 3,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
10,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 3
10,AGV 2,UAV 3,CHARGING_START,Start charging
10,UAV 4,Control Center,CHARGING_REQUEST,"Request charging, battery: 0.0%"
10,Control Center,AGV 4,CHARGING_COMMAND,Charge UAV 4
