scene_name,variant_name,num_runs,completion_rate_mean,completion_rate_std,total_energy_mean,total_energy_std,avg_delivery_time_mean,avg_delivery_time_std,avg_wait_time_at_relay_mean,avg_wait_time_at_relay_std,relay_count_mean,relay_count_std,direct_count_mean,direct_count_std,fallback_count_mean,fallback_count_std,charging_count_mean,charging_count_std,failed_tasks_mean,failed_tasks_std,total_distance_mean,total_distance_std,total_distance_uav_mean,total_distance_uav_std,total_distance_agv_mean,total_distance_agv_std
pickup_delivery_generated,unified_full,5,0.6,0.0,120.56799710798343,0.0,0.6666666666666666,0.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2071.3056172296588,0.0,1837.1369657457822,0.0,234.16865148387643,2.842170943040401e-14
pickup_delivery_generated,direct_only,5,0.64,0.19595917942265426,113.9720029064094,34.29980307704446,1.0,0.0,,,0.0,0.0,3.2,0.9797958971132712,0.0,0.0,0.0,0.0,1.8,0.9797958971132713,1603.3227419284708,391.7702377328594,1603.3227419284708,391.7702377328594,0.0,0.0
pickup_delivery_generated,relay_only,5,0.6,0.0,118.27978500503846,1.4210854715202004e-14,0.0,0.0,4.333333333333333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1691.203938999594,0.0,1457.0352875157175,0.0,234.16865148387643,2.842170943040401e-14
pickup_delivery_generated,greedy_pool,5,0.8,0.0,155.9397723966835,0.0,0.5,0.0,9.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1916.2882900973505,0.0,1597.8772648518416,0.0,318.41102524550877,0.0
pickup_delivery_generated,random_pool,5,0.8,0.0,150.25622592669032,6.761837927244906,0.7,0.2449489742783178,9.0,0.0,1.2,0.9797958971132713,2.8,0.9797958971132712,0.0,0.0,0.0,0.0,1.0,0.0,1974.3106381835082,109.15609329453044,1793.0719868686924,159.37582314189657,181.2386513148158,149.06268922921063
pickup_delivery_generated,fixed_weights,5,0.6,0.0,120.56799710798343,0.0,0.6666666666666666,0.0,9.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2071.3056172296588,0.0,1837.1369657457822,0.0,234.16865148387643,2.842170943040401e-14
pickup_delivery_generated,simple_ops,5,0.68,0.09797958971132716,129.13186820291426,10.488557202775205,0.7999999999999999,0.16329931618554522,9.0,0.0,0.6,0.48989794855663565,2.8,0.9797958971132712,0.0,0.0,0.0,0.0,1.6,0.4898979485566356,2012.0640909564324,72.55575547654408,1871.5629000661065,42.162986501680834,140.50119089032586,114.71874197822483
scene_small,unified_full,5,1.0,0.0,506.8682601341449,3.6387032885827693,4.5,0.39999999999999997,1.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1754.400379750564,23.676505427657865,1477.8917903722229,23.676505427657865,276.508589378341,0.0
scene_small,direct_only,5,1.0,0.0,481.8708404478978,12.24511012673307,5.04,0.19595917942265442,,,0.0,0.0,10.0,0.0,0.0,0.0,3.6,0.4898979485566356,0.0,0.0,1476.6735681249534,24.16586699070345,1476.6735681249534,24.16586699070345,0.0,0.0
scene_small,relay_only,5,1.1,0.0,581.0418147669639,1.4981675466486586,2.8,0.0,2.1,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,2026.8338386738965,211.69010646733122,1269.8553876792528,211.69010646733122,756.9784509946438,0.0
