timestamp,sender,receiver,message_type,content
0,UAV 1,Control Center,TASK_START,Start task 1
0,UAV 2,Control Center,TASK_START,Start task 2
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
2,UAV 1,Control Center,TASK_COMPLETE,Complete task 1
2,UAV 1,Control Center,TASK_START,Start task 3
3,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 18.2%"
3,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
3,AGV 1,UAV 1,CHARGING_START,Start charging
3,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.7%
4,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 9.8%"
4,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
4,AGV 1,UAV 2,CHARGING_START,Start charging
5,UAV 1,Control Center,LOW_BATTERY,Battery level: 29.6%
6,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 10.1%"
6,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
6,AGV 1,UAV 1,CHARGING_START,Start charging
6,UAV 2,Control Center,LOW_BATTERY,Battery level: 24.1%
7,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 6.3%"
7,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
7,AGV 1,UAV 2,CHARGING_START,Start charging
8,UAV 1,Control Center,LOW_BATTERY,Battery level: 21.4%
9,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 2.0%"
9,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
9,AGV 1,UAV 1,CHARGING_START,Start charging
9,UAV 2,Control Center,LOW_BATTERY,Battery level: 20.6%
10,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 2.8%"
10,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
10,AGV 1,UAV 2,CHARGING_START,Start charging
11,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.5%"
11,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
11,AGV 1,UAV 1,CHARGING_START,Start charging
12,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.6%"
12,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
12,AGV 1,UAV 2,CHARGING_START,Start charging
13,UAV 1,Control Center,TASK_COMPLETE,Complete task 3
13,UAV 1,Control Center,LOW_BATTERY,Battery level: 26.2%
14,UAV 1,Control Center,TASK_COMPLETE,Complete task 3
14,UAV 1,Control Center,TASK_START,Start task 4
14,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 4.8%"
14,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
14,AGV 1,UAV 1,CHARGING_START,Start charging
15,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 17.2%"
15,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 2
15,AGV 1,UAV 2,CHARGING_START,Start charging
16,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 14.5%"
16,Control Center,AGV 1,CHARGING_COMMAND,Charge UAV 1
