step,sim_time,event_type,task_id,uav_id,agv_id,x,y,details
0,0,TASK_ASSIGNED,10,8,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,24,10,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,46,5,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,6,7,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,40,4,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,47,2,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,42,1,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,38,9,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,36,3,,,,Task assigned to UAV
0,0,TASK_ASSIGNED,17,6,,,,Task assigned to UAV
0,0,TASK_START,6,7,,,,Task starts execution
0,0,TASK_START,10,8,,,,Task starts execution
0,0,TASK_START,17,6,,,,Task starts execution
0,0,TASK_START,24,10,,,,Task starts execution
0,0,TASK_START,36,3,,,,Task starts execution
0,0,TASK_START,38,9,,,,Task starts execution
0,0,TASK_START,40,4,,,,Task starts execution
0,0,TASK_START,42,1,,,,Task starts execution
0,0,TASK_START,46,5,,,,Task starts execution
0,0,TASK_START,47,2,,,,Task starts execution
1,1,TASK_COMPLETE,42,1,,,,
1,1,TASK_COMPLETE,47,2,,,,
1,1,TASK_COMPLETE,36,3,,,,
1,1,TASK_COMPLETE,40,4,,,,
1,1,TASK_COMPLETE,46,5,,,,
1,1,TASK_COMPLETE,17,6,,,,
1,1,TASK_COMPLETE,6,7,,,,
1,1,TASK_COMPLETE,10,8,,,,
1,1,TASK_COMPLETE,38,9,,,,
1,1,TASK_COMPLETE,24,10,,,,
2,2,TASK_ASSIGNED,27,1,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,48,10,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,35,5,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,19,6,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,8,7,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,41,9,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,1,2,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,4,3,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,9,4,,,,Task assigned to UAV
2,2,TASK_ASSIGNED,16,8,,,,Task assigned to UAV
2,2,TASK_START,1,2,,,,Task starts execution
2,2,TASK_START,4,3,,,,Task starts execution
2,2,TASK_START,8,7,,,,Task starts execution
2,2,TASK_START,9,4,,,,Task starts execution
2,2,TASK_START,16,8,,,,Task starts execution
2,2,TASK_START,19,6,,,,Task starts execution
2,2,TASK_START,27,1,,,,Task starts execution
2,2,TASK_START,35,5,,,,Task starts execution
2,2,TASK_START,41,9,,,,Task starts execution
2,2,TASK_START,48,10,,,,Task starts execution
2,2,LOW_BATTERY,,8,,,,
3,3,TASK_COMPLETE,27,1,,,,
3,3,LOW_BATTERY,,1,,,,
