timestamp,sender,receiver,message_type,content
0,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 3
0,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 2
0,UAV 1,Control Center,TASK_START,Start task 2
0,UAV 2,Control Center,TASK_START,Start task 3
1,UAV 1,Control Center,TASK_COMPLETE,Complete task 2
1,UAV 2,Control Center,TASK_COMPLETE,Complete task 3
2,Control Center,UAV 1,TASK_ASSIGNMENT,Assign task 5
2,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 5
2,Control Center,UAV 2,TASK_ASSIGNMENT,Assign task 1
2,Control Center,AGV 1,RELAY_REQUEST,Request relay support for task 1
2,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 5
2,Control Center,AGV N/A,RELAY_REQUEST,Request relay support for task 1
11,UAV 1,Control Center,TASK_COMPLETE,Complete task 5
11,UAV 2,Control Center,TASK_COMPLETE,Complete task 1
11,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
12,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
13,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
14,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
15,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
16,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
17,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
18,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
19,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
20,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
21,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
22,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
23,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
24,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
25,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
26,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
27,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
28,AGV 1,Control Center,AGV_ARRIVE_RELAY,AGV 1 arrived at relay point for task 1
28,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
29,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
30,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
31,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
32,UAV 2,Control Center,LOW_BATTERY,Battery level: 27.8%
